# RA	DEC	class	z	D (cm)	Objname	log(L_[OIII])	log(L_MIR)	log(L_x(2-10))			F_i(2-10)	F_i(14-195)	logNH(low-upper)	F_OIII(cgs	F_MIR(cgs)	L_MIR(lower limit)	H/S	cm/Mpc	c	H
#											10^-12 erg cm^-2 s^-1		cm^-2					3.09E+24	3.00E+05	67.8
13h04m14.39s	-10d20m22.6s	Sy2	0.01056	1.44E+26	NGC4939	41.07519585	43.23677199	42.38068027			9.2	27.5	23.29[23.21-23.37]		2.65E-24	*	H			
13h04m13.14s	-05d33m05.8s	Sy2	0.00404	5.52E+25	NGC4941	40.09199453	42.50353072	41.28129734			5	22.1	23.72[23.69-23.76]		3.35E-24		H			
13h09m05.60s	11d38m03.0s	Sy2	0.02531	3.46E+26	NGC4992	39.86062626	43.32849357	43.19318223			10.4	66.8	23.69[23.59-23.78]		5.70E-25		H			
13h13m27.47s	36d35m38.2s	Sy1.9	0.00289	3.95E+25	NGC5033	39.25311738	42.75983011	40.91460958			4.2	5.5	20.00[20.00-20.00]		1.18E-23		H			
13h25m44.06s	-29d50m01.2s	Sy2	0.01481627262	2.02E+26	NGC5135	41.28360361	43.22357074	43.22						3.75E-13			S			
01h23m54.39s	-35d03m55.9s	Sy2	0.01883	2.57E+26	NGC526A	41.68137729	43.4618631	43.26951326			22.4	59.8	22.01[21.99-22.01]		1.40E-24		H			
13h42m08.34s	35d39m15.2s	Sy1.5	0.00386	5.27E+25	NGC5273	39.49224269	42.01839028	41.36881402			6.7	11.2	20.59[20.28-20.78]		1.20E-24		H			
13h41m05.76s	67d40m20.3s	Sy2	0.01025	1.40E+26	NGC5283	40.958425	42.73196483	41.94731484			3.6	8.8	23.15[23.05-23.23]		8.80E-25		H			
14h32m40.74s	-44d10m27.9s	Sy2	0.002671	3.65E+25	NGC5643	40.33682334	42.52357074	42.10315416			75.9	308.4	25.40[25.06-26.00]		0		H			
01h33m57.74s	-36d29m35.7s	Sy2	0.03008	4.11E+26	NGC612	40.07947656	44.02362009	43.93996209			41.1	99.9	23.99[23.93-24.05]		2.00E-24		H			
16h43m20.24s	70d37m57.1s	Sy2	0.01486	2.03E+26	NGC6232	40.94654025	42.88909102	42.84070702			13.4	36.5	24.94[24.53-26.00]		6.01E-25	*	H			
21h48m19.52s	-34d57m04.5s	Sy1.9	0.01616	2.21E+26	NGC7130	40.94566716	43.94634513	42.14817515			2.3	16.3	24.00[23.90-24.21]		5.80E-24		H			
23h03m15.62s	08d52m26.4s	Sy1.5	0.013976	1.91E+26	NGC7469	41.82373998	43.90189825	43.2			26.1	64.3	20.53[20.36-20.65]		7.00E-24		H			
23h04m56.65s	12d19m22.4s	Sy.19	0.006734669371	9.20E+25	NGC7479	39.06730249	43.26357074	42			8.5	22.9	24.16[24.03-24.28]	1.10E-14			H			
23h18m23.50s	-42d22m14.0s	Sli	0.0053	7.24E+25	NGC7582	40.52676352	42.86028227	43.52363796			507.6	323.5	24.33[24.32-24.34]	5.13E-13			H			
11h41m16.16s	21d56m21.8s	Sy1.5	0.06325	8.64E+26	PG1138+222	42.29035173	44.43893195	43.79776047			6.7	15.7	20.00[20.00-20.00]		1.18E-24	*	H			
05h59m47.38s	-50d26m52.4s	Sy1	0.1372	1.87E+27	PKS0558-504	41.26487935	45.04204358	44.84566995			15.9	17.6	20.00[20.00-20.00]		1.00E-24	*	H			
13h54m15.41s	-37d46m33.2s	Sy2	0.050875	6.95E+26	TOLOLO00113	42.78609688	44.20557654	43.74636128			9.2	22.2	22.91[22.84-23.06]		1.06E-24		H			
12h04m43.32s	31d10m38.2s	Sy1.9	0.0247	3.37E+26	UGC07064	41.25944893	43.78289792	42.58632228			2.7	10.1	22.59[22.53-22.65]		1.70E-24		H			
